教程说明书,#genre#
使用以及反馈说明,https://alist.jinenyy.vip/d/%E7%94%A8%E6%88%B7%E4%B8%8A%E4%BC%A0/%E8%BF%9B%E6%81%A9%E5%93%A5%E8%A7%86%E9%A2%91%E6%95%99%E7%A8%8B/TVBox%E4%BD%BF%E7%94%A8%E8%AF%B4%E6%98%8E.mp4?sign=oa-ocIOSN0GFXv5A-inSPxzrBIuqtF93upUXaFYHq_o=:0
斐讯N1刷第三方系统教程,https://alist.jinenyy.vip/d/%E7%94%A8%E6%88%B7%E4%B8%8A%E4%BC%A0/%E8%BF%9B%E6%81%A9%E5%93%A5%E8%A7%86%E9%A2%91%E6%95%99%E7%A8%8B/%E6%96%90%E8%AE%AFN1%E7%9B%92%E5%AD%90%E6%95%91%E7%A0%96%E4%BB%A5%E5%8F%8A%E5%88%B7%E7%AC%AC%E4%B8%89%E6%96%B9%E7%B3%BB%E7%BB%9F%E6%95%99%E7%A8%8B.mp4?sign=dXYZzBEpz7OGfVMIybpLRLWKG5yQzIWFZoeu1oH7wx0=:0
使用replit搭建一个alist网盘教程,https://alist.jinenyy.vip/d/%E7%94%A8%E6%88%B7%E4%B8%8A%E4%BC%A0/%E8%BF%9B%E6%81%A9%E5%93%A5%E8%A7%86%E9%A2%91%E6%95%99%E7%A8%8B/%E6%95%99%E4%BD%A0%E7%94%A8replit%E6%90%AD%E5%BB%BAalist%E6%95%99%E7%A8%8B.mp4?sign=xCibrXxpvYqJdJkia1V7siiSCQ8Uq2jcZ0APCI8Lycg=:0
进恩哥卫视,https://alist.jinenyy.vip/d/%E7%94%A8%E6%88%B7%E4%B8%8A%E4%BC%A0/%E8%BF%9B%E6%81%A9%E5%93%A5%E5%8D%AB%E8%A7%86%EF%BC%88%E8%87%AA%E5%88%9B%E9%A2%91%E9%81%93%EF%BC%89.mp4?sign=Vjv9ExzSlZsqETMSNn1-gm3-DIRJjQ3nIGpuUMhIPuw=:0


中央台,#genre#
CCTV1,https://epg.pw/stream/3415b8e289adbdbd4835bbdcd1a9396edbadfb65f276fcece6542d6a44a6605c.m3u8
CCTV1, https://node1.olelive.com:6443/live/CCTV1HD/hls.m3u8
CCTV1,http://gdcucc-livod.qn-cdn.gitv.tv/gitv_live/G_CCTV-1-HQ/G_CCTV-1-HQ.m3u8?p=GITV&area=GD_CUCC&$4M%20FHD
CCTV1,https://iptv.luas.edu.cn/liverespath/b455c7a019d404d571655c457e0ee8a9440a7802/e0eea3f2cd-0-0-7b16046e28b9e794d06c5fbcc82d37b9/index.m3u8
CCTV1,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226667/1.m3u8
CCTV2,https://node1.olelive.com:6443/live/CCTV2HD/hls.m3u8
CCTV2,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226195/1.m3u8
CCTV3,http://[2409:8087:2001:20:2800:0:df6e:eb20]/ott.mobaibox.com/PLTV/4/224/3221228499/index.m3u8
CCTV4,http://gdcucc-livod.qn-cdn.gitv.tv/gitv_live/G_CCTV-4-HQ/G_CCTV-4-HQ.m3u8?p=GITV&area=GD_CUCC&$4M%20FHD
CCTV4,https://iptv.luas.edu.cn/liverespath/c70d81eefb04fef7777c2a5aab4ddc9459ce4246/0baa43f537-0-0-5bc4eda6a2031a1140906b86d867a79e/index.m3u8
CCTV5,https://node1.olelive.com:6443/live/CCTV5HD/hls.m3u8
CCTV5+,http://101.33.17.11/liveplay-kk.rtxapp.com/live/program/live/cctv5hd8m/8000000/mnf.m3u8
CCTV5+,http://gdcucc-livod.qn-cdn.gitv.tv/gitv_live/G_CCTV-5PLUS-HQ/G_CCTV-5PLUS-HQ.m3u8?p=GITV&area=GD_CUCC&$4M FHD
CCTV5+,https://node1.olelive.com:6443/live/CCTV5PHD/hls.m3u8
